code,code_value
01,DISCHARGED TO HOME OR SELF CARE (ROUTINE DISCHARGE)
02,DISCHARGED/TRANSFERRED TO ANOTHER SHORT-TERM HOSPITAL
03,DISCHARGED/TRANSFERRED TO A NURSING FACILITY
04,DISCHARGED/TRANSFERRED TO AN INTERMEDIATE CARE FACILITY
05,DISCHARGED/TRANSFERRED TO ANOTHER TYPE INSTITUTION (INCLUDING DISTINCT PARTS) OR REFERRED FOR OUTPATIENT SERVICES TO ANOTHER INSTITUTION
06,DISCHARGED/TRANSFERRED TO HOME UNDER CARE OF ORGANIZED HOME HEALTH SERVICE ORGANIZATION
07,LEFT AGAINST MEDICAL ADVICE OR DISCONTINUED CARE
08,DISCHARGED/TRANSFERRED TO HOME UNDER CARE OF A HOME IV DRUG THERAPY PROVIDER
09,ADMITTED AS AN INPATIENT TO THIS HOSPITAL
20,EXPIRED (OR DID NOT RECOVER - CHRISTIAN SCIENCE) PATIENT
30,STILL A PATIENT
40,EXPIRED AT HOME (HOSPICE CLAIMS ONLY)
41,EXPIRED IN A MEDICAL FACILITY SUCH AS A HOSPITAL
42,EXPIRED - PLACE UNKNOWN (HOSPICE CLAIMS ONLY)
43,Discharged/transferred to a federal hospital
50,HOSPICE - HOME
51,HOSPICE - MEDICAL FACILITY
61,DISCHARGED TO A HOSPITAL-BASED MEDICARE APPROVED SWING BED
62,DISCHARGED/TRANSFERRED TO ANOTHER REHAB FACILITY/REHAB UNIT OF A HOSPITAL
63,DISCHARGED/TRANSFERRED TO A LONG-TERM CARE HOSPITAL
65,DISCHARGED/TRANSFERRED TO A PSYCH HOSPITAL/PSYCH UNIT OF A HOSPITAL
66,DISCHARGED TO CRITICAL ACCESS HOSPITAL
71,DISCHARGED/TRANSFERRED TO ANOTHER INSTITUTION FOR OUTPATIENT SERVICES
72,DISCHARGED/TRANSFERRED TO THIS INSTITUTION FOR OUTPATIENT SERVICES
99,UNKNOWN
